infinitief,imperfectum(enkelvoud),imperfectum(meervoud),participium,hulpwerkwoord,engels
dragen,droeg,droegen,gedragen,hebben,to wear
drinken,dronk,dronken,gedronken,hebben,to drink
eruitzien,zag eruit,zagen eruit,eruitgezien,hebben,to seem/look
eten,at,aten,gegeten,hebben,to eat
gaan,ging,gingen,gegaan,zijn,to go
genezen,genas,genazen,genezen,hebben/zijn,to cure/heal
genieten,genoot,genoten,genoten,hebben,to enjoy/find pleasure
geven,gaf,gaven,gegeven,hebben,to give
gieten,goot,goten,gegoten,hebben,to pour
hangen,hing,hingen,gehangen,hebben,to hang
hebben,had,hadden,gehad,hebben,to have
helpen,hielp,hielpen,geholpen,hebben,to help
herdenken,herdacht,herdachten,herdacht,hebben,to commemorate
heten,heette,heetten,geheten,hebben,to be named
houden,hield,hielden,gehouden,hebben,to hold/to love
innemen,nam in,namen in,ingenomen,hebben,to cause to feel prejudice for or against something/to eat or drink
inrijden,reed in,reden in,ingereden,hebben/zijn,to drive in
insluiten,sloot in,sloten in,ingesloten,hebben,to enclosure
kiezen,koos,kozen,gekozen,hebben,to choose
kijken,keek,keken,gekeken,hebben,to look/watch
klaarliggen,lag klaar,lagen klaar,klaargelegen,hebben,to be ready (objects?)
klaarstaan,stond klaar,stonden klaar,klaargestaan,hebben,to be ready (people?) to go do something
klimmen,klom,klommen,geklommen,hebben/zijn,to climb
klinken,klonk,klonken,geklonken,hebben,to sound
komen,kwam,kwamen,gekomen,zijn,to come
kopen,kocht,kochten,gekocht,hebben,to buy
krijgen,kreeg,kregen,gekregen,hebben,to get
kunnen,kon,konden,gekund,hebben,can
lachen,lachte,lachten,gelachen,hebben,to laugh
langsgaan,ging langs,gingen langs,langsgegaan,zijn,to make a visit
langskomen,kwam langs,kwamen langs,langsgekomen,zijn,to come on a visit
langslopen,liep langs,liepen langs,langsgelopen,zijn,to visit briefly
laten,liet,lieten,gelaten,hebben,to let
leegdrinken,dronk leeg,dronken leeg,leeggedronken,hebben,to drink all in the container (ad fundum)
lesgeven,gaf les,gaven les,lesgegeven,hebben,to teach
lezen,las,lazen,gelezen,hebben,to read
liegen,loog,logen,gelogen,hebben,to lie (say something false)
liggen,lag,lagen,gelegen,hebben,to lie (horizontally on a surface)
lijken,leek,leken,geleken,hebben,to appeak/look like
lopen,liep,liepen,gelopen,hebben/zijn,to run
loslaten,liet los,lieten los,losgelaten,hebben,to release/let go
meebrengen,bracht mee,brachten mee,meegebracht,hebben,to bring along
meegaan,ging mee,gingen mee,meegegaan,zijn,to go along with (agree with)
meekomen,kwam mee,kwamen mee,meegekomen,zijn,to come along
meenemen,nam mee,namen mee,meegenomen,hebben,to take (remove/use/occupy)
meerijden,reed mee,reden mee,meegereden,hebben/zijn,to ride along
meevallen,viel mee,vielen mee,meegevallen,zijn,to be better than expected
moeten,moest,moesten,gemoeten,hebben,must
mogen,mocht,mochten,gemogen,hebben,may
nadenken,dacht na,dachten na,nagedacht,hebben,to reflect (think carefully)
nemen,nam,namen,genomen,hebben,to take
onderbreken,onderbrak,onderbraken,onderbroken,hebben,to interrupt